Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
DL Vettori (NZ),37,13,88,2,2.37,44,111,v Australia,Brisbane,1 Dec 2011,0,0,0
GW Flower (ZIM),39,7,89,2,2.28,44.5,117,v Sri Lanka,Galle,12 Jan 2002,0,0,0
MS Panesar (ENG),19.3,0,90,2,4.61,45,58.5,v Australia,Sydney,2 Jan 2007,0,0,0
PL Harris (SA),26.3,3,91,2,3.43,45.5,79.5,v West Indies,Port of Spain,10 Jun 2010,0,0,0
Enamul Haque (BDESH),46,15,94,2,2.04,47,138,v Zimbabwe,Harare,26 Apr 2001,0,0,0
PR Adams (SA),32.5,8,97,2,2.95,48.5,98.5,v West Indies,Kingston,19 Apr 2001,0,0,0
GW Flower (ZIM),24,0,101,2,4.2,50.5,72,v India,Nagpur,25 Nov 2000,0,0,0
MS Panesar (ENG),47,17,101,2,2.14,50.5,141,v Sri Lanka,Galle,26 Mar 2012,0,0,0
Abdur Razzak (BDESH),42,7,106,2,2.52,53,126,v Zimbabwe,Harare,4 Aug 2011,0,0,0
HMRKB Herath (SL),30.4,2,108,2,3.52,54,92,v New Zealand,Dunedin,10 Dec 2015,0,0,0
Shakib Al Hasan (BDESH),37,2,108,2,2.91,54,111,v New Zealand,Wellington,12 Jan 2017,0,0,0
Abdur Razzak (BDESH),30,3,109,2,3.63,54.5,90,v England,Manchester,4 Jun 2010,0,0,0
PR Adams (SA),45,11,118,2,2.62,59,135,v New Zealand,Hamilton,10 Mar 2004,0,0,0
KA Maharaj (SA),50,8,118,2,2.36,59,150,v New Zealand,Hamilton,25 Mar 2017,0,0,0
DL Vettori (NZ),46,6,122,2,2.65,61,138,v England,Lord's,20 May 2004,0,0,0
HMRKB Herath (SL),33,1,123,2,3.72,61.5,99,v New Zealand,Hamilton,18 Dec 2015,0,0,0
DL Vettori (NZ),79,32,124,2,1.56,62,237,v India,Mohali,16 Oct 2003,0,0,0
DL Vettori (NZ),59.4,20,124,2,2.07,62,179,v Australia,Adelaide,28 Nov 2008,0,0,0
SNJ O'Keefe (AUS),45.2,6,128,2,2.82,64,136,v Bangladesh,Chittagong,4 Sep 2017,0,0,0
LA Dawson (ENG),43,4,129,2,3,64.5,129,v India,Chennai,16 Dec 2016,0,0,0
JM Holland (AUS),25,1,133,2,5.32,66.5,75,v Sri Lanka,Galle,4 Aug 2016,0,0,0
AF Giles (ENG),37,4,136,2,3.67,68,111,v Pakistan,Faisalabad,20 Nov 2005,0,0,0
DL Vettori (NZ),55,9,142,2,2.58,71,165,v South Africa,Johannesburg,8 Nov 2007,0,0,0
SJ Benn (WI),43,8,146,2,3.39,73,129,v England,Chester+AC0-le+AC0-Street,14 May 2009,0,0,0
DL Vettori (NZ),63,10,147,2,2.33,73.5,189,v South Africa,Cape Town,27 Apr 2006,0,0,0
SJ Benn (WI),46,7,148,2,3.21,74,138,v South Africa,Centurion,17 Dec 2014,0,0,0
AF Giles (ENG),52,7,149,2,2.86,74.5,156,v Australia,Adelaide,1 Dec 2006,0,0,0
T Shamsi (SA),43.5,8,150,2,3.42,75,131.5,v Australia,Adelaide,24 Nov 2016,0,0,0
MS Panesar (ENG),50,7,151,2,3.02,75.5,150,v Sri Lanka,Colombo (SSC),9 Dec 2007,0,0,0
GB Hogg (AUS),35,4,156,2,4.45,78,105,v West Indies,Port of Spain,19 Apr 2003,0,0,0
PR Adams (SA),45,7,157,2,3.48,78.5,135,v Pakistan,Faisalabad,24 Oct 2003,0,0,0
PL Harris (SA),62,9,165,2,2.66,82.5,186,v West Indies,Basseterre,18 Jun 2010,0,0,0
BP Martin (NZ),43,7,175,2,4.06,87.5,129,v Bangladesh,Chittagong,9 Oct 2013,0,0,0
AF Giles (ENG),65,16,190,2,2.92,95,195,v Sri Lanka,Colombo (SSC),18 Dec 2003,0,0,0
MS Panesar (ENG),54,7,198,2,3.66,99,162,v Australia,Adelaide,5 Dec 2013,0,0,0
