Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
Harbhajan Singh (INDIA),43,7,152,5,3.53,30.4,51.6,v Sri Lanka,Kanpur,24 Nov 2009,1,1,0
Harbhajan Singh (INDIA),72,19,154,5,2.13,30.8,86.4,v Australia,Mohali,1 Oct 2010,1,1,0
M Muralitharan (SL),60.5,7,157,5,2.58,31.4,73,v India,Colombo (PSS),8 Aug 2008,1,1,0
J Nyumbu (ZIM),49.3,7,157,5,3.17,31.4,59.4,v South Africa,Harare,9 Aug 2014,1,1,0
PJ Wiseman (NZ),47.5,9,159,5,3.32,31.8,57.4,v Australia,Auckland,11 Mar 2000,1,1,0
Imran Tahir (SA),53,8,160,5,3.01,32,63.6,v Sri Lanka,Cape Town,3 Jan 2012,1,1,0
Saqlain Mushtaq (PAK),69.4,18,165,5,2.36,33,83.6,v England,Karachi,7 Dec 2000,1,1,0
M Muralitharan (SL),66.4,14,167,5,2.5,33.4,80,v South Africa,Galle,4 Aug 2004,1,1,0
Danish Kaneria (PAK),47,4,168,5,3.57,33.6,56.4,v England,Multan,12 Nov 2005,1,1,0
Danish Kaneria (PAK),56.2,7,170,5,3.01,34,67.6,v Sri Lanka,Faisalabad,20 Oct 2004,1,1,0
M Muralitharan (SL),66.5,11,171,5,2.55,34.2,80.2,v South Africa,Kandy,30 Jul 2000,1,1,0
M Muralitharan (SL),90,28,177,5,1.96,35.4,108,v England,Kandy,7 Mar 2001,1,1,0
M Muralitharan (SL),88.5,31,181,5,2.03,36.2,106.6,v New Zealand,Colombo (PSS),25 Apr 2003,1,1,0
Danish Kaneria (PAK),46,7,181,5,3.93,36.2,55.2,v West Indies,Multan,19 Nov 2006,1,1,0
S Shillingford (WI),59.3,7,184,5,3.09,36.8,71.4,v New Zealand,Kingston,8 Jun 2014,1,1,0
Harbhajan Singh (INDIA),76.5,14,189,5,2.45,37.8,92.2,v Pakistan,Kolkata,30 Nov 2007,1,1,0
P Utseya (ZIM),60.3,6,192,5,3.17,38.4,72.6,v Pakistan,Harare,3 Sep 2013,1,1,0
Harbhajan Singh (INDIA),73.3,13,193,5,2.62,38.6,88.2,v New Zealand,Hyderabad (Deccan),12 Nov 2010,1,1,0
SK Warne (AUS),50,6,195,5,3.9,39,60,v Pakistan,Sydney,2 Jan 2005,1,1,0
A Kumble (INDIA),72,18,195,5,2.7,39,86.4,v Pakistan,Kolkata,30 Nov 2007,1,1,0
Harbhajan Singh (INDIA),75.5,14,198,5,2.61,39.6,91,v Australia,Chennai,14 Oct 2004,1,1,0
M Muralitharan (SL),58,4,200,5,3.44,40,69.6,v India,Galle,31 Jul 2008,1,1,0
Danish Kaneria (PAK),64,6,209,5,3.26,41.8,76.8,v South Africa,Karachi,1 Oct 2007,1,1,0
